,,CUSTO DE ALIMENTAÇÃO  VACAS EM LACTAÇÃO,,,,,,
,,,,,,,,
Lotes de animais,,,Lote A,Lote N,Lote B,Lote C (N e Pós),Lote D,LOTE E
Número de animais / lote,,,46,70,45,45,42,20
INGREDIENTES,% MS,R$/Ton,Kg / animal/dia,,,,,
SILAGEM DE MILHO,"34,00%","R$ 204,95","24,00","17,00","24,00","17,00",,
PRE FENADO TIFTON,60%,"R$ 1.350,00","2,00","2,00","2,00","2,00",,
SILAGEM DE SAFRINHA,32%,"R$ 210,00","11,00","8,00","11,00","8,00","30,00","30,00"
BAGAÇO DE CANA,50%,"R$ 300,00",,,,,"8,00","8,00"
CAPIM,"22,0%","R$ 45,00",,,,,,
CAROÇO DE ALGODÃO,"90,10%","R$ 1.000,00",,,,,,
FARELO DE SOJA,"89,10%","R$ 1.830,00","7,60","6,50","7,60","6,50","5,20","5,20"
MILHO,"88,10%","R$ 1.706,00","5,50","4,00","5,50","4,00","6,00","6,00"
SORGO MOIDO FINO,"88,60%","R$ 580,00",,,,,,
CASCA DE SOJA,"90,90%","R$ 1.010,00","3,00","2,30","3,00","2,30",,
GRÃO REIDRATADO DE SORGO,65%,"R$ 666,67","7,60","5,60","7,60","5,60",,
AGUA,0%,"R$ 0,00","6,00","6,00","6,00","6,00","2,00","2,00"
MILHO DENTRO DO MIX,"88,10%","R$ 1.706,00","0,209","0,55","0,209","0,55","0,66","0,66"
METIONINA,100%,"R$ 75.930,00","0,013","0,012","0,013","0,012",,
UREIA,100%,"R$ 3.300,00",,,,,"0,07","0,07"
PREPARA NATA ,100%,"R$ 6.130,00","0,719","0,61","0,719","0,61",,
PREPARA BIO K,100%,"R$ 7.500,00",,,,,"0,25","0,25"
GORDURA DE PALMA,"95,30%","R$ 11.070,00","0,000","0,00","0,000","0,00",,
VIVE BY PASS,"89,40%","R$ 2.810,00","0,539","0,51","0,539","0,51",,
IMPACTO ADSORVE,"100,00%","R$ 13.870,00","0,018","0,017","0,018","0,017","0,02","0,02"