,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nome do Ingrediente,Categoria,Tipo,Matéria Seca (% matéria natural),Concentração (%),Travado,Energia Digestível (Mcal/kg MS),Fibra Detergente Ácida (ADF) (% MS),Fibra Detergente Neutro (NDF) (% MS),Digestibilidade da NDF em 48h (% NDF),Lignina (% MS),Proteína Bruta (% MS),Amido (% MS),Digestibilidade do Amido (% Amido),Açúcares Solúveis em Água (% MS),Proteína Insolúvel em Detergente Neutro (% PB),Proteína Degradável no Rúmen (% PB),Proteína Indisponível (% PB),Digestibilidade da RUP (% da RUP),Proteína Solúvel (% PB),Taxa de Passagem da RUP (%/h),Proteína não degradável no rúmen (RUP) (% PB),Nitrogênio Não Proteico (% PB),NDF Indisponível (% MS),ADF Indisponível (% MS),Arginina (% PB),Histidina (% PB),Isoleucina (% PB),Leucina (% PB),Lisina (% PB),Metionina (% PB),Fenilalanina (% PB),Treonina (% PB),Triptofano (% PB),Valina (% PB),Gordura Bruta (% MS),Digestibilidade da Gordura Bruta (% gordura),Ácidos Graxos Totais (% MS),Cinzas (% MS),Fd_C120_FA (% FA),Fd_C140_FA (% FA),Fd_C160_FA (% FA),Fd_C161_FA (% FA),Fd_C180_FA (% FA),Fd_C181t_FA (% FA),Fd_C181c_FA (% FA),Fd_C182_FA (% FA),Fd_C183_FA (% FA),Fd_OtherFA_FA (% FA),Cálcio (% MS),Fósforo (% MS),Fósforo Inorgânico (% P total),Fósforo Orgânico (% P total),Sódio (% MS),Cloro (% MS),Potássio (% MS),Magnésio (% MS),Enxofre (% MS),Fd_Cr (mg/kg),Fd_Co (mg/kg),Fd_Cu (mg/kg),Fd_Fe (mg/kg),Fd_I (mg/kg),Fd_Mn (mg/kg),Fd_Mo (mg/kg),Fd_Se (mg/kg),Fd_Zn (mg/kg),Fd_B_Carotene (mg/kg),Fd_Biotin (mg/kg),Fd_Choline (mg/kg),Fd_Niacin (mg/kg),Fd_VitA (IU/kg),Fd_VitD (IU/kg),Fd_VitE (IU/kg),Fd_acCa (g/g),Fd_acPtot (g/g),Fd_acNa (g/g),Fd_acCl (g/g),Fd_acK (g/g),Fd_acCu (g/g),Fd_acFe (g/g),Fd_acMg (g/g),Fd_acMn (g/g),Fd_acZn (g/g)
,SILAGEM DE MILHO,Grain Crop Forage,Forage,36.5,0,0,2.552,23.46,39.43,58.5,4.58,8.58,29,75,11.05,42,38,20,70,35.593,4.1,40.782,0,12.844,9.301,04.07,2.47,3.91,13.04,2.64,1.93,5.24,3.59,1.16,5,2.75,73,1.75,5.32,2.859,889,20.644,434,2.421,0,10.179,30.365,25.53,6.679,282,224,92,8,18,399,1.268,204,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,827,1,0.92,1,0.05,0.1,0.31,4,0.2
,PRE FENADO TIFTON,Grass/Legume Forage,Forage,62,0,0,2.124,44.09,68.27,63,8.6,10.28,0,91,3.969,37,51,12,65,46.977,8.1,30.981,0,2.44,1.15,3.88,1.63,3.32,6.22,3.49,1.3,3.92,3.6,1.24,4.51,2.19,73,1.19,10,1.438,503,21.075,1.308,2.415,0,4.859,24.885,32.461,11.056,474,238,67,33,0.03,546,1.523,203,206,0,0,9,205.667,0,86.389,1.125,0.27,32.333,0,0,0,0,0,0,0,0.4,787,1,0.92,1,0.05,0.1,0.31,4,0.2
,CAROÇO DE ALGODÃO,Plant Protein,Concentrate,91.364,100,0,3.148,38.567,50.578,12.8,11.21,23.315,0.76,91,4,45,48,7,73.622,26.618,14.8,19.965,0,2.84,2.733,10.814,2.805,3.167,5.792,4.344,1.493,5.204,3.213,1.176,4.344,18.622,73,18.26,4.214,0,0.69,23.91,0.55,2.33,0,15.24,56.48,0.19,0.61,173,622,11,89,16,81,1.176,382,238,94,0,7.556,71.795,0,17.431,1.135,0.14,36.386,0,0,0,0,0,0,0,0.6,698,1,0.92,1,0.05,0.1,0.31,4,0.2
,FARELO DE SOJA,Plant Protein,Concentrate,89.267,100,0,3.955,7.187,11.065,85.667,1.084,51.5,1.879,91,12.953,18,80,2,91,23.117,9,30.195,0,1.005,627,7.291,2.641,4.537,7.63,6.163,1.377,5.034,3.95,1.377,4.763,1.815,73,01.08,7.237,0,834,17.278,0,4.446,0.43,13.223,54.163,8.429,1.197,0.4,739,7,93,19,62,2.421,327,413,0.21,0,16.058,187.015,0,41.372,4.315,0.2,52.924,0,0,0,0,0,0,0,0.6,691,1,0.92,1,0.05,0.1,0.31,4,0.2
,MILHO MOIDO FINO,Energy Source,Concentrate,86.907,100,0,3.544,3.551,9.761,62.332,1.37,8.514,70.367,92,2.884,23,70,7,73.07,22.078,5.355,40.688,0,912,523,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,3.845,73,3.84,1.504,0,2.329,13.209,123,1.986,0,24.092,55.704,1.623,934,35,309,9.8,90.2,18,104,557,132,104,0.05,0,2.069,39.026,0,7.152,914,0.07,23.428,0,0,0,0,0,0,0,0.6,696,1,0.92,1,0.05,0.1,0.31,4,0.2
,GRÃO REIDRATADO DE SORGO,Energy Source,Concentrate,62,100,0,3.615,3.934,6.134,59,1.087,12.481,72.586,94,2.235,24,56,20,69.315,20.174,5,47.762,0,1.604,831,3.827,2.253,4.11,13.108,2.217,1.737,5.146,3.314,1.2,5.276,4.089,73,2.92,2.496,35,84,17.156,631,1.65,0,29.702,48.179,1.611,952,97,381,10,90,33,166,408,154,115,0,0,8.74,71.15,0,26.59,1.085,0.12,23.273,0,0,0,0,0,0,0,0.6,696,1,0.92,1,0.05,0.1,0.31,4,0.2
,CASCA DE SOJA,By-Product/Other,Concentrate,90.372,100,0,2.744,47.94,66.749,88.11,2.572,11.88,984,91,2.747,26.545,69.557,3.898,68,26.269,6.402,34.498,0,3.647,1.152,5.21,2.605,3.697,6.303,6.303,1.092,3.866,3.613,1.345,4.37,1.885,73,1.61,5.179,0,1.465,16.216,285,7.027,697,15.901,42.66,13.107,2.642,636,132,16,84,11,41,1.403,276,117,0.4,0,7.583,463.849,0,20.505,1.051,0.2,47.266,0,0,0,0,0,0,0,0.6,706,1,0.92,1,0.05,0.1,0.31,4,0.2
,MILHO DENTRO DO MIX,Energy Source,Concentrate,86.907,100,0,3.544,3.551,9.761,62.332,1.37,8.514,70.367,92,2.884,23,70,7,73.07,22.078,5.355,40.688,0,912,523,4.75,2.875,3.375,12,3,2,4.875,3.625,0.75,4.625,3.845,73,3.84,1.504,0,2.329,13.209,123,1.986,0,24.092,55.704,1.623,934,35,309,9.8,90.2,18,104,557,132,104,0.05,0,2.069,39.026,0,7.152,914,0.07,23.428,0,0,0,0,0,0,0,0.6,696,1,0.92,1,0.05,0.1,0.31,4,0.2
,VIVE BY PASS,Plant Protein,Concentrate,89.267,100,0,3.577,9.5,29.7,85.667,3.7,54,3,91,12.953,2.4,97.6,0,85,23.117,9,33.704,0,1.005,627,7.291,2.641,4.537,7.63,6.163,1.377,5.034,3.95,1.377,4.763,1.815,73,01.08,7.237,0,834,17.278,0,4.446,0.43,13.223,54.163,8.429,1.197,0.4,739,7,93,19,62,2.421,327,413,0.21,0,16.058,187.015,0,41.372,4.315,0.2,52.924,0,0,0,0,0,0,0,0.6,691,1,0.92,1,0.05,0.1,0.31,4,0.2
,SMARTMINE,Vitamin/Mineral,Concentrate,100,100,0,0,0,0,65,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1,0,0,0,0,0,0,0
,PREPARA NATA ,Vitamin/Mineral,Concentrate,100,100,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,15.3,0.8,0,0,12,4,0,4.7,0.6,18,16,300,0,20.5,1000,0,15,1800,0,36,0,0,158000,53000,1050,0.5,0.68,1,0.92,0,0.06,0.1,0.23,6,0.3
,IMPACTO ADSORVE,Vitamin/Mineral,Concentrate,100,100,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.68,1,0.92,0,0.05,0.1,0.23,5,0.2
,MILHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PREPARA BIO K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GORDURA DE PALMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,METIONINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UREIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SILAGEM DE SAFRINHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BAGAÇO DE CANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,